id_parcela,longitud,latitud,elevacion_m,habitat,precipitacion_mm_anual,cobertura_dosel_pct,ph_suelo,riqueza_especies,abundancia_total
B029,-75.632674,6.246447,1839.1,Bosque_secundario,2549.7,54.4,6.24,21.0,73
B030,-75.489148,6.19492,1773.6,Mosaico_agroforestal,1791.6,36.1,5.74,13.0,36
B031,-75.653005,6.266725,2133.2,Bosque_secundario,2579.1,73.6,5.77,19.0,79
B032,-75.55031,6.205232,1601.2,Bosque_humedo,2160.9,35.7,7.1,15.0,85
B033,-75.571353,6.239797,1710.6,Bosque_humedo,2131.4,55.5,6.37,12.0,63
B034,-75.652302,6.25944,2043.8,Bosque_secundario,2763.4,58.5,6.37,22.0,82
B035,-75.560893,6.207821,1585.5,Bosque_humedo,2240.2,51.7,6.26,19.0,67
B036,-75.605414,6.234063,1527.5,Bosque_humedo,2486.4,49.9,6.71,18.0,63
B037,-75.595849,6.316592,2027.2,Bosque_altoandino,2275.5,41.8,5.95,10.0,55
B038,-75.577569,6.202451,1601.4,Bosque_humedo,2248.5,62.1,6.45,10.0,33
B039,-75.656958,6.236052,1957.3,Bosque_secundario,2622.4,44.6,6.0,19.0,89
B040,-75.585213,6.201006,1489.5,Bosque_humedo,2338.8,60.7,6.23,15.0,58
B041,-75.525703,6.32196,2041.5,Bosque_altoandino,2016.4,35.3,6.04,17.0,67
B042,-75.650017,6.152552,1518.5,Bosque_secundario,2346.1,51.5,6.14,9.0,27
B043,-75.485506,6.326897,2535.1,Bosque_altoandino,1663.4,,6.42,8.0,60
B044,-75.51242,6.29647,2115.3,Bosque_altoandino,1831.8,34.5,5.96,14.0,51
B045,-75.629167,6.284976,1983.9,Bosque_altoandino,2437.1,55.5,5.81,12.0,55
B046,-75.515513,6.27563,2110.7,Mosaico_agroforestal,1890.6,44.6,6.3,14.0,46
B047,-75.596964,6.209885,1672.9,Bosque_humedo,2466.1,57.1,6.66,21.0,78
B048,-75.508986,6.32934,2332.3,Bosque_altoandino,1739.9,17.5,6.71,6.0,3
B049,-75.586683,6.157798,1194.9,Bosque_humedo,2153.5,55.8,6.53,15.0,86
B050,-75.62441,6.33078,2274.4,Bosque_altoandino,2417.3,52.5,6.33,20.0,58
B051,-75.480292,6.334987,2481.7,Bosque_altoandino,1684.5,14.0,6.91,1.0,21
B052,-75.489409,6.228749,2048.3,Mosaico_agroforestal,1944.9,45.3,6.28,15.0,62
B053,-75.492182,6.228335,1922.7,Mosaico_agroforestal,1975.8,28.4,7.07,10.0,25
B054,-75.500209,6.208468,1770.9,Mosaico_agroforestal,1949.7,31.4,6.45,12.0,50
B055,-75.488786,6.204713,2004.4,Mosaico_agroforestal,1823.1,28.1,6.3,12.0,37
B056,-75.551902,6.193684,1378.1,Bosque_humedo,2130.3,48.1,5.86,14.0,46
B057,-75.599379,6.232135,1727.3,Bosque_humedo,2404.9,55.9,6.04,18.0,41
B058,-75.484602,6.214249,1866.8,Mosaico_agroforestal,1838.3,27.1,6.35,11.0,52
B059,-75.614447,6.225847,1744.1,Bosque_secundario,2377.9,47.5,5.85,14.0,77
B060,-75.480806,6.20623,1862.9,Mosaico_agroforestal,1717.3,27.6,6.35,12.0,16
B061,-75.48713,6.192288,1771.2,Mosaico_agroforestal,1816.3,27.3,6.24,13.0,38
B062,-75.605155,6.153937,1372.0,Bosque_humedo,2049.3,33.7,6.35,5.0,29
B063,-75.672709,6.191722,1728.2,Bosque_secundario,2672.0,57.0,6.16,19.0,48
B064,-75.565354,6.333441,2214.6,Bosque_altoandino,2016.5,18.4,6.98,9.0,29
B065,-75.574807,6.17095,1484.0,Bosque_humedo,2056.8,52.1,6.73,14.0,56
B066,-75.643642,6.299304,2257.4,Bosque_altoandino,2404.9,20.3,6.4,10.0,57
B067,-75.50462,6.171963,1605.5,Mosaico_agroforestal,1863.1,47.6,6.7,16.0,35
B068,-75.625437,6.166598,1365.9,Bosque_secundario,2463.3,50.5,6.36,14.0,99
B069,-75.566676,6.322496,2151.0,Bosque_altoandino,2085.9,47.1,6.47,14.0,59
B070,-75.676877,6.242051,2006.2,Bosque_secundario,2511.7,63.6,5.83,16.0,54
B071,-75.626041,6.255146,1828.6,Bosque_secundario,2516.7,54.9,5.73,13.0,52
B072,-75.664729,6.198102,1784.8,Bosque_secundario,2682.6,59.7,5.81,23.0,90
B073,-75.560603,6.19274,1471.1,Bosque_humedo,2207.8,59.0,6.78,14.0,21
B074,-75.637911,6.312639,2247.4,Bosque_altoandino,2454.0,20.6,6.3,17.0,67
B075,-75.592389,6.326629,2238.0,Bosque_altoandino,2075.0,32.1,6.49,13.0,40
B076,-75.665088,6.192795,1808.5,Bosque_secundario,2462.8,47.1,6.33,14.0,79
B077,-75.570253,6.280747,1912.4,Bosque_altoandino,2196.0,48.0,6.64,14.0,80
B078,-75.559722,6.222043,1779.7,Bosque_humedo,2117.2,40.0,6.5,10.0,10
B079,-75.652816,6.233135,1848.4,Bosque_secundario,2749.4,58.7,5.98,22.0,70
B080,-75.64314,6.277225,2078.1,Bosque_secundario,2643.6,33.0,6.46,12.0,11
B081,-75.601199,6.184812,1338.9,Bosque_humedo,2327.9,46.9,5.59,14.0,40
B082,-75.648982,6.317403,2395.9,Bosque_altoandino,2471.9,35.3,5.74,11.0,38
B083,-75.569136,6.171849,1319.9,Bosque_humedo,2100.0,42.4,6.4,15.0,28
B084,-75.600171,6.276912,2064.9,Bosque_humedo,2376.8,48.2,6.47,13.0,61
B085,-75.603901,6.297682,2081.6,Bosque_altoandino,2330.5,35.6,6.12,17.0,108
B086,-75.522039,6.269893,2076.4,Mosaico_agroforestal,2116.2,53.0,6.35,15.0,47
B087,-75.676843,6.229489,1900.8,Bosque_secundario,2828.4,53.5,5.83,20.0,68
B088,-75.560059,6.228238,1726.4,Bosque_humedo,2171.1,40.2,6.23,10.0,64
B089,-75.650377,6.300106,2282.7,Bosque_altoandino,2573.0,52.6,6.83,14.0,43
B090,-75.488812,6.284445,2258.6,Bosque_altoandino,1804.5,36.1,6.54,9.0,54
B091,-75.626793,6.206383,1617.9,Bosque_secundario,2345.7,47.9,6.36,10.0,58
B092,-75.635023,6.245241,1850.3,Bosque_secundario,2605.9,41.7,6.1,20.0,66
B093,-75.555686,6.242484,1844.0,Bosque_humedo,2160.7,44.4,6.42,9.0,54
B094,-75.582251,6.268716,1763.9,Bosque_humedo,2249.9,47.0,6.14,13.0,57
B095,-75.650623,6.259674,2183.6,Bosque_secundario,2616.0,37.0,5.56,15.0,87
B096,-75.669416,6.199868,1763.9,Bosque_secundario,2432.3,43.6,6.27,18.0,72
B097,-75.679495,6.17466,1680.5,Bosque_secundario,2521.7,52.2,6.54,21.0,51
B098,-75.637536,6.3216,2276.0,Bosque_altoandino,2430.9,53.5,6.38,13.0,57
B099,-75.483487,6.260913,2023.6,Mosaico_agroforestal,1878.5,43.1,5.92,15.0,41
B100,-75.545655,6.265358,1968.3,Bosque_humedo,2330.8,65.7,6.57,20.0,110
B101,-75.646514,6.183349,1809.1,Bosque_secundario,2586.8,,5.76,18.0,58
B102,-75.481149,6.274506,2013.6,Mosaico_agroforestal,2002.5,30.2,5.91,16.0,40
B103,-75.627665,6.183654,1483.1,Bosque_secundario,2430.0,56.8,6.38,10.0,62
B104,-75.679464,6.305772,2411.4,Bosque_altoandino,2586.6,39.5,5.84,7.0,41
B105,-75.601834,6.321582,2014.4,Bosque_altoandino,2302.0,41.7,5.9,17.0,84
B106,-75.650873,6.337664,2492.8,Bosque_altoandino,2367.6,38.2,6.93,14.0,57
B107,-75.647687,6.179456,1756.9,Bosque_secundario,2495.0,,6.17,23.0,81
B108,-75.508655,6.280747,2190.9,Bosque_altoandino,1752.1,20.0,6.66,7.0,43
B109,-75.508731,6.211686,1741.9,Mosaico_agroforestal,1923.2,41.3,6.99,15.0,43
B110,-75.504111,6.2353,2038.3,Mosaico_agroforestal,2009.4,35.3,,13.0,63
B111,-75.551014,6.16429,1265.1,Bosque_humedo,1995.1,32.4,6.67,11.0,44
B112,-75.659015,6.325613,2515.6,Bosque_altoandino,2503.8,33.9,6.51,10.0,46
B113,-75.662477,6.182221,1937.2,Bosque_secundario,2513.6,55.2,5.91,14.0,42
B114,-75.486323,6.257351,2037.1,Mosaico_agroforestal,2038.3,25.5,6.19,12.0,67
B115,-75.626713,6.267655,1887.6,Bosque_secundario,2669.4,45.0,6.05,15.0,52
B116,-75.501661,6.293073,2168.7,Bosque_altoandino,1779.9,29.9,6.51,10.0,31
B117,-75.614972,6.259389,1826.3,Bosque_secundario,2331.2,54.0,6.44,16.0,56
B118,-75.54128,6.29414,2025.0,Bosque_altoandino,1976.0,54.9,6.69,15.0,60
B119,-75.495811,6.230526,1838.3,Mosaico_agroforestal,1815.2,,6.16,10.0,38
B120,-75.61857,6.191864,1575.4,Bosque_secundario,2347.6,,,13.0,94
B121,-75.540995,6.150072,1272.2,Bosque_humedo,1898.1,58.2,6.38,16.0,49
B122,-75.491417,6.221571,1870.2,Mosaico_agroforestal,1909.2,30.7,6.18,11.0,86
B123,-75.556076,6.294689,1881.0,Bosque_altoandino,2052.2,47.5,6.49,15.0,55
B124,-75.519502,6.309089,2209.4,Bosque_altoandino,1929.6,42.7,5.78,17.0,78
B125,-75.487241,6.281886,2251.0,Bosque_altoandino,1902.2,5.0,7.07,14.0,45
B126,-75.488684,6.168268,1668.2,Mosaico_agroforestal,1792.7,30.2,6.58,12.0,42
B127,-75.480346,6.335715,2457.5,Bosque_altoandino,1794.7,27.7,6.6,13.0,40
B128,-75.647112,6.216155,1832.8,Bosque_secundario,2544.9,66.2,5.87,20.0,73
B129,-75.649349,6.331837,2501.8,Bosque_altoandino,2322.1,43.3,5.84,15.0,44
B130,-75.526699,6.308481,2209.6,Bosque_altoandino,1941.7,38.8,6.34,12.0,72
B131,-75.567872,6.292463,1795.8,Bosque_altoandino,2322.8,61.2,5.99,18.0,43
B132,-75.542532,6.276889,2067.4,Bosque_humedo,2032.2,43.9,6.55,15.0,60
B133,-75.587766,6.324271,2072.0,Bosque_altoandino,2022.4,40.5,5.92,14.0,54
B134,-75.566639,6.237632,1631.1,Bosque_humedo,2423.1,62.0,5.61,18.0,57
B135,-75.677827,6.171211,1694.4,Bosque_secundario,2445.8,51.8,6.37,13.0,35
B136,-75.524172,6.186161,1549.0,Mosaico_agroforestal,1913.6,44.3,5.92,10.0,29
B137,-75.649806,6.216275,1897.3,Bosque_secundario,2672.4,67.5,6.26,22.0,120
B138,-75.600539,6.225857,1482.4,Bosque_humedo,2260.7,60.1,6.48,16.0,64
B139,-75.572855,6.19498,1492.1,Bosque_humedo,2142.8,48.2,6.37,18.0,73
B140,-75.650652,6.253222,2113.9,Bosque_secundario,2437.6,42.0,6.79,14.0,53
B141,-75.535833,6.222632,1732.3,Bosque_humedo,2132.9,35.8,6.1,4.0,40
B142,-75.657789,6.216441,1805.7,Bosque_secundario,2457.4,48.8,6.49,13.0,36
B143,-75.670023,6.212907,1865.7,Bosque_secundario,2640.2,53.6,5.91,24.0,79
B144,-75.551803,6.259447,1766.7,Bosque_humedo,2277.2,56.1,5.92,11.0,63
B145,-75.625311,6.23438,1795.7,Bosque_secundario,2527.9,46.7,6.44,20.0,94
B146,-75.605648,6.205737,1649.1,Bosque_humedo,2393.3,54.8,5.94,13.0,57
B147,-75.488085,6.296273,2312.2,Bosque_altoandino,1782.6,34.8,6.87,9.0,44
B148,-75.673385,6.216634,2021.9,Bosque_secundario,2595.7,61.3,6.46,18.0,75
B149,-75.509462,6.177088,1634.4,Mosaico_agroforestal,1915.7,46.8,6.71,15.0,35
B150,-75.624838,6.177012,1574.7,Bosque_secundario,2460.8,47.2,5.98,21.0,87
B151,-75.540538,6.33786,2242.6,Bosque_altoandino,1998.7,42.8,6.36,13.0,36
B152,-75.602906,6.259008,1644.1,Bosque_humedo,2252.9,78.3,6.37,19.0,52
B153,-75.59123,6.271427,1863.2,Bosque_humedo,2388.7,64.1,6.19,23.0,85
B154,-75.666472,6.227368,1857.6,Bosque_secundario,2668.6,62.4,6.05,18.0,58
B155,-75.559365,6.32544,2070.8,Bosque_altoandino,2156.1,40.3,6.33,,49
B156,-75.674551,6.202463,1887.6,Bosque_secundario,2536.0,59.7,6.54,15.0,77
B157,-75.537907,6.169582,1449.2,Bosque_humedo,2067.1,28.5,,10.0,31
B158,-75.481489,6.318016,2265.5,Bosque_altoandino,1779.7,24.9,6.54,4.0,11
B159,-75.603519,6.311904,1985.1,Bosque_altoandino,2295.6,45.9,6.67,14.0,70
B160,-75.614418,6.328892,2095.5,Bosque_altoandino,2273.0,32.3,6.49,,26
B161,-75.497811,6.282348,2120.5,Bosque_altoandino,1867.5,34.6,6.93,13.0,49
B162,-75.520772,6.244081,1940.2,Mosaico_agroforestal,2128.1,38.7,6.26,18.0,27
B163,-75.485053,6.2764,2195.8,Mosaico_agroforestal,1794.5,31.2,6.72,12.0,36
B164,-75.508821,6.283685,2166.8,Bosque_altoandino,1904.7,37.1,6.71,9.0,23
B165,-75.60683,6.15971,1196.4,Bosque_humedo,2102.5,41.2,6.08,15.0,87
B166,-75.579658,6.193699,1619.9,Bosque_humedo,2208.6,37.4,6.57,9.0,25
B167,-75.603812,6.220412,1732.2,Bosque_humedo,2293.2,44.0,6.89,11.0,63
B168,-75.602397,6.193018,1502.0,Bosque_humedo,2366.3,59.0,6.42,13.0,48
B169,-75.490094,6.174679,1745.8,Mosaico_agroforestal,1664.5,31.7,6.47,6.0,35
B170,-75.620515,6.18687,1462.4,Bosque_secundario,2472.9,50.7,5.68,11.0,57
B171,-75.613464,6.184764,1409.3,Bosque_secundario,2372.3,37.3,6.85,14.0,46
B172,-75.581067,6.261006,1766.2,Bosque_humedo,2254.6,51.9,5.85,10.0,29
B173,-75.633447,6.201064,1727.9,Bosque_secundario,2465.2,62.6,6.07,22.0,74
B174,-75.51179,6.294737,2163.1,Bosque_altoandino,1915.4,26.4,6.52,11.0,75
B175,-75.632385,6.19239,1572.3,Bosque_secundario,2429.3,49.8,6.25,14.0,66
B176,-75.57602,6.335228,2028.2,Bosque_altoandino,2057.6,42.7,6.46,13.0,56
B177,-75.536187,6.175913,1537.6,Bosque_humedo,2033.6,42.3,6.39,5.0,35
B178,-75.515758,6.180352,1662.3,Mosaico_agroforestal,1951.3,43.6,6.63,12.0,44
B179,-75.612921,6.282283,1951.7,Bosque_altoandino,2409.3,50.0,6.84,16.0,65
B180,-75.619958,6.232244,1626.3,Bosque_secundario,2519.1,67.6,5.57,14.0,87
