id_observacion,especie,longitud,latitud,periodo,individuos
O2027,Rana_de_cristal,-75.57356,6.268896,tarde,1
O2028,Rana_de_cristal,-75.530374,6.293543,tarde,3
O2029,Rana_de_cristal,-75.564261,6.278228,mañana,1
O2030,Rana_de_cristal,-75.542165,6.283193,mañana,1
O2031,Rana_de_cristal,-75.617592,6.281404,tarde,2
O2032,Rana_de_cristal,-75.539633,6.301566,mañana,6
O2033,Rana_de_cristal,-75.538919,6.303173,mañana,2
O2034,Rana_de_cristal,-75.553903,6.283787,mañana,6
O2035,Rana_de_cristal,-75.565033,6.305156,mañana,3
O2036,Rana_de_cristal,-75.576949,6.279956,mañana,4
O2037,Rana_de_cristal,-75.568273,6.27218,tarde,2
O2038,Rana_de_cristal,-75.549919,6.29513,mañana,6
O2039,Rana_de_cristal,-75.582802,6.276436,tarde,4
O2040,Rana_de_cristal,-75.562589,6.295324,mañana,4
O2041,Rana_de_cristal,-75.58264,6.274844,mañana,2
O2042,Rana_de_cristal,-75.543942,6.257638,tarde,5
O2043,Rana_de_cristal,-75.536667,6.274912,mañana,6
O2044,Rana_de_cristal,-75.549369,6.256377,mañana,3
O2045,Rana_de_cristal,-75.554082,6.24858,mañana,4
O2046,Rana_de_cristal,-75.556605,6.263157,tarde,6
O2047,Rana_de_cristal,-75.560541,6.25584,mañana,6
O2048,Rana_de_cristal,-75.591031,6.259924,mañana,1
O2049,Rana_de_cristal,-75.555759,6.255926,tarde,5
O2050,Rana_de_cristal,-75.562391,6.262232,mañana,1
O2051,Rana_de_cristal,-75.583298,6.201181,mañana,5
O2052,Rana_de_cristal,-75.569999,6.295564,mañana,4
O2053,Rana_de_cristal,-75.596604,6.333624,tarde,5
O2054,Rana_de_cristal,-75.574698,6.276109,mañana,6
O2055,Rana_de_cristal,-75.592171,6.262733,mañana,7
O2056,Rana_de_cristal,-75.56597,6.247738,mañana,2
O2057,Rana_de_cristal,-75.563586,6.246186,mañana,5
O2058,Rana_de_cristal,-75.531191,6.280839,mañana,5
O2059,Rana_de_cristal,-75.54995,6.279948,tarde,6
O2060,Rana_de_cristal,-75.540463,6.281927,mañana,2
O2061,Rana_de_cristal,-75.572075,6.270446,tarde,2
O2062,Rana_de_cristal,-75.579522,6.255712,mañana,5
O2063,Rana_de_cristal,-75.549449,6.260334,tarde,7
O2064,Rana_de_cristal,-75.549642,6.273796,tarde,3
O2065,Rana_de_cristal,-75.573109,6.280016,tarde,2
O3001,Orquidea_epifita,-75.566049,6.291126,mañana,6
O3002,Orquidea_epifita,-75.554629,6.329175,mañana,6
O3003,Orquidea_epifita,-75.532053,6.301738,mañana,6
O3004,Orquidea_epifita,-75.573967,6.281638,mañana,2
O3005,Orquidea_epifita,-75.554104,6.295019,mañana,5
O3006,Orquidea_epifita,-75.523374,6.290152,mañana,1
O3007,Orquidea_epifita,-75.553672,6.315395,tarde,4
O3008,Orquidea_epifita,-75.552539,6.259557,mañana,5
O3009,Orquidea_epifita,-75.560747,6.282991,tarde,3
O3010,Orquidea_epifita,-75.553511,6.319708,mañana,3
O3011,Orquidea_epifita,-75.557311,6.321572,tarde,5
O3012,Orquidea_epifita,-75.582726,6.277644,tarde,3
O3013,Orquidea_epifita,-75.540544,6.34,tarde,6
O3014,Orquidea_epifita,-75.496094,6.308128,tarde,5
O3015,Orquidea_epifita,-75.550863,6.285344,tarde,3
O3016,Orquidea_epifita,-75.538761,6.337938,mañana,3
O3017,Orquidea_epifita,-75.606356,6.312263,tarde,5
O3018,Orquidea_epifita,-75.578782,6.270462,mañana,5
O3019,Orquidea_epifita,-75.546174,6.304316,mañana,4
O3020,Orquidea_epifita,-75.550605,6.284827,mañana,5
O3021,Orquidea_epifita,-75.543174,6.303472,mañana,2
O3022,Orquidea_epifita,-75.58104,6.34,mañana,7
O3023,Orquidea_epifita,-75.540361,6.326019,mañana,3
O3024,Orquidea_epifita,-75.515332,6.260641,mañana,7
O3025,Orquidea_epifita,-75.549428,6.334028,tarde,2
O3026,Orquidea_epifita,-75.563539,6.29723,mañana,2
O3027,Orquidea_epifita,-75.540915,6.292892,mañana,1
O3028,Orquidea_epifita,-75.545691,6.256313,tarde,6
O3029,Orquidea_epifita,-75.580569,6.276932,tarde,4
O3030,Orquidea_epifita,-75.594167,6.278328,tarde,1
O3031,Orquidea_epifita,-75.516854,6.309121,tarde,2
O3032,Orquidea_epifita,-75.530553,6.309473,mañana,3
O3033,Orquidea_epifita,-75.528414,6.331189,mañana,5
O3034,Orquidea_epifita,-75.550183,6.268212,tarde,4
O3035,Orquidea_epifita,-75.534657,6.31949,tarde,3
O3036,Orquidea_epifita,-75.54262,6.34,mañana,1
O3037,Orquidea_epifita,-75.543457,6.284017,mañana,5
O3038,Orquidea_epifita,-75.508531,6.297602,tarde,3
O3039,Orquidea_epifita,-75.541839,6.303124,mañana,2
O3040,Orquidea_epifita,-75.523847,6.335803,tarde,2
O3041,Orquidea_epifita,-75.572887,6.296176,tarde,7
O3042,Orquidea_epifita,-75.488433,6.310196,tarde,3
O3043,Orquidea_epifita,-75.561447,6.319434,tarde,1
O3044,Orquidea_epifita,-75.481028,6.295945,mañana,3
O3045,Orquidea_epifita,-75.539235,6.313602,mañana,4
O3046,Orquidea_epifita,-75.510182,6.326235,mañana,2
O3047,Orquidea_epifita,-75.551611,6.332459,tarde,1
O3048,Orquidea_epifita,-75.553282,6.318185,tarde,3
O3049,Orquidea_epifita,-75.529118,6.306784,tarde,1
O3050,Orquidea_epifita,-75.540225,6.267886,tarde,4
O3051,Orquidea_epifita,-75.549727,6.322838,tarde,5
O3052,Orquidea_epifita,-75.504322,6.31228,tarde,7
O3053,Orquidea_epifita,-75.563208,6.259652,tarde,3
O3054,Orquidea_epifita,-75.571782,6.308617,mañana,7
O3055,Orquidea_epifita,-75.560345,6.292137,mañana,3
O3056,Orquidea_epifita,-75.483373,6.299042,mañana,7
O3057,Orquidea_epifita,-75.570768,6.294213,mañana,3
O3058,Orquidea_epifita,-75.516635,6.291779,tarde,2
O3059,Orquidea_epifita,-75.556647,6.310573,tarde,2
O3060,Orquidea_epifita,-75.56811,6.261529,tarde,7
O3061,Orquidea_epifita,-75.567372,6.315854,tarde,2
O3062,Orquidea_epifita,-75.561272,6.303161,mañana,6
O3063,Orquidea_epifita,-75.538616,6.329755,mañana,5
O3064,Orquidea_epifita,-75.520354,6.312104,tarde,1
O3065,Orquidea_epifita,-75.514604,6.297435,tarde,2
O3066,Orquidea_epifita,-75.567144,6.33129,tarde,1
O3067,Orquidea_epifita,-75.495578,6.302723,mañana,3
O3068,Orquidea_epifita,-75.549863,6.303831,mañana,6
O3069,Orquidea_epifita,-75.561129,6.312366,tarde,1
O3070,Orquidea_epifita,-75.515481,6.34,mañana,4
O3071,Orquidea_epifita,-75.525801,6.267605,mañana,4
O3072,Orquidea_epifita,-75.537558,6.276133,tarde,3
O3073,Orquidea_epifita,-75.514555,6.299623,tarde,7
O3074,Orquidea_epifita,-75.497713,6.301153,mañana,6
O3075,Orquidea_epifita,-75.554458,6.330059,tarde,7
O4001,Escarabajo_coprofago,-75.645078,6.200678,mañana,3
O4002,Escarabajo_coprofago,-75.670409,6.202185,tarde,4
O4003,Escarabajo_coprofago,-75.61848,6.185799,mañana,2
O4004,Escarabajo_coprofago,-75.606369,6.21073,mañana,2
O4005,Escarabajo_coprofago,-75.589971,6.220772,tarde,6
O4006,Escarabajo_coprofago,-75.675106,6.229168,mañana,6
O4007,Escarabajo_coprofago,-75.66813,6.208681,tarde,4
O4008,Escarabajo_coprofago,-75.645445,6.226726,mañana,4
O4009,Escarabajo_coprofago,-75.641284,6.181767,mañana,2
O4010,Escarabajo_coprofago,-75.587874,6.229134,mañana,5
O4011,Escarabajo_coprofago,-75.623071,6.176557,mañana,1
O4012,Escarabajo_coprofago,-75.658311,6.20014,tarde,4
O4013,Escarabajo_coprofago,-75.610978,6.163705,mañana,6
O4014,Escarabajo_coprofago,-75.616957,6.177798,tarde,4
O4015,Escarabajo_coprofago,-75.661098,6.177765,mañana,5
O4016,Escarabajo_coprofago,-75.590808,6.248761,tarde,1
O4017,Escarabajo_coprofago,-75.656019,6.232899,tarde,1
O4018,Escarabajo_coprofago,-75.609995,6.239959,mañana,7
O4019,Escarabajo_coprofago,-75.607768,6.203471,mañana,4
O4020,Escarabajo_coprofago,-75.607759,6.191704,mañana,7
O4021,Escarabajo_coprofago,-75.618562,6.199282,mañana,2
O4022,Escarabajo_coprofago,-75.647023,6.192999,tarde,4
O4023,Escarabajo_coprofago,-75.651417,6.216668,tarde,6
O4024,Escarabajo_coprofago,-75.604178,6.202387,mañana,7
O4025,Escarabajo_coprofago,-75.606446,6.232459,mañana,2
O4026,Escarabajo_coprofago,-75.621495,6.170791,tarde,4
O4027,Escarabajo_coprofago,-75.619692,6.202473,mañana,3
O4028,Escarabajo_coprofago,-75.661047,6.172492,mañana,2
O4029,Escarabajo_coprofago,-75.647947,6.191053,mañana,3
O4030,Escarabajo_coprofago,-75.67624,6.19148,tarde,7
O4031,Escarabajo_coprofago,-75.604082,6.183455,mañana,1
O4032,Escarabajo_coprofago,-75.62292,6.202783,mañana,3
O4033,Escarabajo_coprofago,-75.599651,6.15,mañana,1
O4034,Escarabajo_coprofago,-75.619744,6.222236,mañana,5
O4035,Escarabajo_coprofago,-75.63862,6.20054,mañana,1
O4036,Escarabajo_coprofago,-75.597747,6.245194,mañana,5
O4037,Escarabajo_coprofago,-75.616854,6.206543,tarde,4
O4038,Escarabajo_coprofago,-75.637627,6.206104,mañana,1
O4039,Escarabajo_coprofago,-75.617212,6.195959,mañana,5
O4040,Escarabajo_coprofago,-75.62445,6.182062,mañana,2
O4041,Escarabajo_coprofago,-75.604459,6.180579,mañana,7
O4042,Escarabajo_coprofago,-75.655926,6.183257,tarde,7
O4043,Escarabajo_coprofago,-75.628605,6.236816,mañana,2
O4044,Escarabajo_coprofago,-75.648294,6.250975,mañana,3
O4045,Escarabajo_coprofago,-75.68,6.176198,tarde,6
O4046,Escarabajo_coprofago,-75.60877,6.192372,mañana,5
O4047,Escarabajo_coprofago,-75.606491,6.197001,tarde,5
O4048,Escarabajo_coprofago,-75.629701,6.209379,mañana,5
O4049,Escarabajo_coprofago,-75.645282,6.235635,tarde,4
O4050,Escarabajo_coprofago,-75.601712,6.207861,mañana,6
O4051,Escarabajo_coprofago,-75.604342,6.234368,tarde,1
O4052,Escarabajo_coprofago,-75.592736,6.240527,tarde,5
O4053,Escarabajo_coprofago,-75.608447,6.251654,tarde,4
O4054,Escarabajo_coprofago,-75.654939,6.194806,mañana,7
O4055,Escarabajo_coprofago,-75.63349,6.173519,mañana,3
O4056,Escarabajo_coprofago,-75.648558,6.209737,tarde,6
O4057,Escarabajo_coprofago,-75.606282,6.16844,tarde,4
O4058,Escarabajo_coprofago,-75.632817,6.2282,tarde,5
O4059,Escarabajo_coprofago,-75.660996,6.184483,tarde,1
O4060,Escarabajo_coprofago,-75.641994,6.238746,tarde,5
O4061,Escarabajo_coprofago,-75.603208,6.225393,tarde,3
O4062,Escarabajo_coprofago,-75.672735,6.226521,tarde,7
O4063,Escarabajo_coprofago,-75.674368,6.16174,tarde,1
O4064,Escarabajo_coprofago,-75.67173,6.233771,tarde,7
O4065,Escarabajo_coprofago,-75.669525,6.218825,tarde,5
O4066,Escarabajo_coprofago,-75.611948,6.181187,tarde,7
O4067,Escarabajo_coprofago,-75.623134,6.20168,tarde,6
O4068,Escarabajo_coprofago,-75.615383,6.20912,tarde,4
O4069,Escarabajo_coprofago,-75.591587,6.177409,mañana,1
O4070,Escarabajo_coprofago,-75.6116,6.167122,mañana,5
O4071,Escarabajo_coprofago,-75.627958,6.210847,mañana,1
O4072,Escarabajo_coprofago,-75.639564,6.15,tarde,4
O4073,Escarabajo_coprofago,-75.628901,6.15,mañana,7
O4074,Escarabajo_coprofago,-75.590792,6.18814,mañana,7
O4075,Escarabajo_coprofago,-75.637291,6.204207,tarde,2
O4076,Escarabajo_coprofago,-75.632858,6.167782,mañana,1
O4077,Escarabajo_coprofago,-75.648299,6.15,mañana,4
O4078,Escarabajo_coprofago,-75.635789,6.178946,mañana,4
O4079,Escarabajo_coprofago,-75.613619,6.185183,mañana,1
O4080,Escarabajo_coprofago,-75.630838,6.201256,tarde,1
O4081,Escarabajo_coprofago,-75.676117,6.212105,tarde,3
O4082,Escarabajo_coprofago,-75.630229,6.195375,tarde,6
O4083,Escarabajo_coprofago,-75.626511,6.178869,mañana,7
O4084,Escarabajo_coprofago,-75.563921,6.194343,tarde,4
O4085,Escarabajo_coprofago,-75.606012,6.184006,tarde,4
