id_muestra,longitud,latitud,elevacion_m,litologia,sio2_pct,fe_pct,densidad_g_cm3,porosidad_pct,fracturas_n,alteracion
G068,-75.487689,6.324376,2176.3,Volcánica,55.99,4.92,2.673,32.1,7,Alta
G069,-75.622122,6.26602,2152.8,Metasedimentaria,59.08,,2.643,29.3,9,Media
G070,-75.559088,6.329243,2120.2,Volcánica,52.93,4.98,2.725,25.9,7,Alta
G071,-75.678444,6.233244,1982.2,Metasedimentaria,55.1,3.38,2.788,23.2,10,Media
G072,-75.560188,6.299406,1959.7,Volcánica,58.16,3.55,2.764,30.6,6,Media
G073,-75.626672,6.168063,1641.2,Metasedimentaria,63.88,3.39,2.68,,12,Media
G074,-75.505333,6.30773,2109.5,Volcánica,59.03,3.66,2.742,24.9,7,Media
G075,-75.63749,6.293106,2394.3,Metasedimentaria,61.31,4.68,2.746,26.6,12,Alta
G076,-75.649638,6.183659,1815.6,Metasedimentaria,64.21,3.21,2.731,25.8,11,Media
G077,-75.677863,6.232526,1717.8,Metasedimentaria,62.37,3.4,2.673,29.1,10,Media
G078,-75.500079,6.286988,2029.5,Volcánica,56.67,2.94,2.692,29.8,5,Media
G079,-75.675238,6.212035,1673.1,Metasedimentaria,58.4,4.56,2.657,26.1,11,Alta
G080,-75.560957,6.278365,1933.0,Volcánica,57.76,4.64,2.718,29.0,10,Alta
G081,-75.672456,6.15703,1493.2,Metasedimentaria,63.0,3.84,2.699,30.0,11,Media
G082,-75.533055,6.311362,2104.1,Volcánica,,4.23,2.644,32.6,7,Alta
G083,-75.500179,6.196536,1694.6,Intrusiva,74.42,3.63,2.679,28.1,2,Baja
G084,-75.644295,6.24839,2167.0,Metasedimentaria,57.51,4.74,2.748,26.3,10,Alta
G085,-75.674679,6.249259,1813.5,Metasedimentaria,55.52,5.49,2.696,29.9,11,Alta
G086,-75.592113,6.23501,2063.3,Depósito_cuaternario,56.96,4.67,2.648,33.7,6,Alta
G087,-75.603662,6.196734,1873.5,Metasedimentaria,61.29,3.98,2.63,26.8,12,Media
G088,-75.490641,6.201654,1651.1,Intrusiva,69.51,2.57,2.687,25.6,4,Baja
G089,-75.611046,6.252529,2217.4,Metasedimentaria,60.56,4.47,2.613,27.1,11,Alta
G090,-75.667019,6.179522,1700.2,Metasedimentaria,60.31,2.6,2.698,34.0,16,Media
G091,-75.642386,6.30601,2349.7,Metasedimentaria,59.05,2.42,2.696,29.6,10,Media
G092,-75.614032,6.287319,2218.2,Metasedimentaria,56.44,4.39,2.702,28.9,7,Alta
G093,-75.660117,6.288306,2471.6,Metasedimentaria,62.64,2.44,2.564,24.2,15,Media
G094,-75.575788,6.232132,1647.0,Depósito_cuaternario,54.1,3.64,2.667,30.1,9,Media
G095,-75.523814,6.314138,2083.1,Volcánica,59.03,3.78,2.651,25.1,9,Media
G096,-75.569199,6.242987,1720.8,Depósito_cuaternario,63.62,3.34,2.723,28.4,6,Media
G097,-75.659903,6.227253,1758.2,Metasedimentaria,,4.87,2.739,30.0,10,Alta
G098,-75.492735,6.285379,1987.3,Volcánica,56.29,5.08,2.639,26.4,7,Alta
G099,-75.4987,6.215876,1589.9,Intrusiva,70.11,2.73,2.683,23.7,7,Baja
G100,-75.668183,6.177947,1533.8,Metasedimentaria,58.24,4.1,2.74,22.6,10,Media
G101,-75.623728,6.219427,1802.4,Metasedimentaria,58.2,4.03,2.666,27.2,7,Media
G102,-75.526289,6.215733,1414.4,Intrusiva,71.05,2.29,2.607,29.6,6,Baja
G103,-75.59613,6.155266,1691.0,Depósito_cuaternario,57.85,3.87,2.699,25.5,4,Media
G104,-75.625659,6.175122,1907.0,Metasedimentaria,57.85,4.54,2.621,33.3,4,Alta
G105,-75.6163,6.15727,1701.2,Metasedimentaria,59.65,5.27,2.748,26.0,10,Alta
G106,-75.483279,6.273478,1997.7,Volcánica,56.26,3.98,2.698,29.5,8,Media
G107,-75.650155,6.201904,2046.9,Metasedimentaria,57.15,3.92,2.668,31.9,9,Media
G108,-75.591295,6.222984,1674.2,Depósito_cuaternario,57.09,3.22,2.723,28.6,9,Media
G109,-75.662414,6.313786,2455.1,Metasedimentaria,60.99,4.56,2.639,28.5,6,Alta
G110,-75.49092,6.253812,2036.6,Intrusiva,65.64,4.66,2.763,34.0,2,Alta
G111,-75.545428,6.197035,1490.7,Depósito_cuaternario,54.33,4.25,2.683,29.1,6,Alta
G112,-75.580189,6.207587,1628.4,Depósito_cuaternario,56.02,4.51,2.76,28.7,5,Alta
G113,-75.52794,6.283043,1843.6,Volcánica,57.22,4.61,2.607,26.0,6,Alta
G114,-75.639824,6.261734,2320.4,Metasedimentaria,56.02,4.48,2.87,31.3,7,Alta
G115,-75.577727,6.169783,1626.1,Depósito_cuaternario,61.43,4.5,2.535,22.8,6,Alta
G116,-75.568813,6.183174,1484.1,Depósito_cuaternario,58.11,3.8,2.735,28.0,6,Media
G117,-75.665594,6.239642,1858.6,Metasedimentaria,58.17,5.04,2.665,34.3,8,Alta
G118,-75.672816,6.318922,2505.3,Metasedimentaria,57.16,4.5,2.69,24.9,5,Alta
G119,-75.504975,6.309376,2089.9,Volcánica,57.61,3.5,2.645,28.5,6,Media
G120,-75.663134,6.299204,2191.9,Metasedimentaria,57.74,5.39,2.692,27.1,8,Alta
G121,-75.501323,6.287265,1967.4,Volcánica,,4.22,2.622,,1,Alta
G122,-75.668083,6.24689,1824.0,Metasedimentaria,58.79,2.81,2.576,33.2,11,Media
G123,-75.548999,6.303586,2060.9,Volcánica,56.71,3.0,2.585,28.0,8,Media
G124,-75.641108,6.170987,1948.0,Metasedimentaria,63.28,4.41,2.578,29.0,13,Alta
G125,-75.52152,6.212714,1411.1,Intrusiva,71.86,2.92,2.562,28.2,5,Baja
G126,-75.664543,6.229848,1899.4,Metasedimentaria,59.44,,2.725,27.2,16,Alta
G127,-75.498539,6.292541,2013.1,Volcánica,55.72,4.94,2.665,26.9,6,Alta
G128,-75.605041,6.325313,2618.0,Metasedimentaria,59.02,3.47,2.749,28.4,17,Media
G129,-75.526661,6.200986,1338.8,Intrusiva,69.73,2.21,2.608,31.6,3,Baja
G130,-75.609131,6.216137,2038.6,Metasedimentaria,61.97,2.93,2.771,28.7,8,Media
G131,-75.671464,6.163262,1541.5,Metasedimentaria,56.71,4.03,2.596,28.3,11,Media
G132,-75.5724,6.289601,2114.4,Volcánica,53.79,3.67,2.732,32.0,6,Media
G133,-75.629066,6.237861,2125.6,Metasedimentaria,57.56,4.22,2.663,25.0,11,Alta
G134,-75.581751,6.275425,2043.6,Volcánica,56.81,3.55,2.71,31.4,8,Media
G135,-75.536846,6.32798,2131.1,Volcánica,58.82,4.84,2.667,31.0,7,Alta
G136,-75.541584,6.163873,1229.8,Depósito_cuaternario,58.1,4.6,2.693,26.0,6,Alta
G137,-75.481111,6.196279,1700.5,Intrusiva,70.86,2.18,2.693,,2,Baja
G138,-75.629353,6.191984,1922.0,Metasedimentaria,58.46,3.77,2.633,27.3,6,Media
G139,-75.492629,6.170877,1521.7,Intrusiva,69.18,3.1,2.679,29.0,4,Baja
G140,-75.584733,6.20081,1713.6,Depósito_cuaternario,54.67,3.04,2.584,24.0,6,Media
G141,-75.585739,6.287531,2117.2,Volcánica,52.93,4.29,2.771,26.7,5,Alta
G142,-75.540907,6.249946,1721.4,Depósito_cuaternario,55.25,4.28,2.692,35.0,5,Alta
G143,-75.512038,6.188616,1402.2,Intrusiva,68.95,3.57,2.62,31.1,4,Baja
G144,-75.618077,6.177655,1729.0,Metasedimentaria,59.05,4.16,2.731,24.3,10,Media
G145,-75.586683,6.21934,1746.3,Depósito_cuaternario,56.74,3.92,2.703,29.1,7,Media
G146,-75.549857,6.30344,1885.6,Volcánica,53.06,,2.691,31.3,12,Alta
G147,-75.677677,6.206574,1779.1,Metasedimentaria,62.49,3.39,2.658,29.3,16,Media
G148,-75.549672,6.303813,1875.5,Volcánica,53.08,4.98,2.663,26.1,5,Alta
G149,-75.642619,6.313415,2423.4,Metasedimentaria,61.11,3.5,2.626,29.2,11,Media
G150,-75.570702,6.243992,1652.4,Depósito_cuaternario,58.86,4.16,2.643,25.7,3,Media
G151,-75.50587,6.333736,2146.0,Volcánica,59.87,4.09,2.516,33.6,5,Media
G152,-75.645038,6.299574,2472.7,Metasedimentaria,60.97,4.62,2.627,28.6,6,Alta
G153,-75.502169,6.240171,1797.4,Intrusiva,70.26,1.71,2.591,27.2,5,Baja
G154,-75.494154,6.247993,1804.8,Intrusiva,72.64,3.65,2.604,31.2,2,Baja
G155,-75.563158,6.242868,1811.7,Depósito_cuaternario,58.33,3.42,2.681,31.6,7,Media
G156,-75.526757,6.191661,1451.2,Intrusiva,65.18,4.18,2.551,27.9,9,Media
G157,-75.49784,6.159606,1377.0,Intrusiva,70.02,2.39,2.702,29.8,6,Baja
G158,-75.61208,6.204083,1931.2,Metasedimentaria,62.12,4.42,2.717,24.9,10,Alta
G159,-75.618344,6.19873,1811.1,Metasedimentaria,61.49,3.89,2.635,33.0,6,Media
G160,-75.53419,6.313664,1963.1,Volcánica,54.25,5.17,2.623,30.8,3,Alta
G161,-75.678606,6.331257,2419.3,Metasedimentaria,61.27,5.17,2.619,25.2,14,Alta
G162,-75.591568,6.242126,1951.0,Depósito_cuaternario,58.13,4.13,2.642,27.2,3,Media
G163,-75.52972,6.309811,2014.0,Volcánica,53.81,5.16,2.66,33.1,5,Alta
G164,-75.622146,6.232714,2058.0,Metasedimentaria,63.29,2.56,2.695,28.4,4,Media
G165,-75.632113,6.166325,1848.9,Metasedimentaria,58.24,5.05,2.715,26.1,12,Alta
G166,-75.673403,6.312558,2138.1,Metasedimentaria,59.48,4.1,2.753,26.2,10,Media
G167,-75.55628,6.159929,1253.4,Depósito_cuaternario,57.53,4.4,2.729,29.2,7,Alta
G168,-75.480008,6.172813,1547.4,Intrusiva,67.35,2.56,2.652,28.6,6,Baja
G169,-75.549617,6.241812,1584.4,Depósito_cuaternario,58.68,4.62,2.665,26.5,5,Alta
G170,-75.507309,6.316153,2059.5,Volcánica,58.47,3.87,2.714,29.2,10,Media
G171,-75.612672,6.328286,2523.8,Metasedimentaria,,,2.654,28.2,14,Media
G172,-75.535849,6.194435,1391.8,Depósito_cuaternario,61.54,3.61,2.696,28.8,5,Media
G173,-75.562863,6.173542,1371.1,Depósito_cuaternario,58.71,5.07,2.667,29.2,3,Alta
G174,-75.502644,6.179856,1511.0,Intrusiva,69.96,2.54,2.65,28.7,5,Baja
G175,-75.535229,6.267659,1717.9,Volcánica,56.3,4.28,2.741,,7,Alta
G176,-75.673223,6.27551,2136.8,Metasedimentaria,57.99,3.69,2.642,33.5,21,Media
G177,-75.551703,6.319303,2030.6,Volcánica,56.29,3.36,2.669,31.5,7,Media
G178,-75.596467,6.280989,2151.5,Volcánica,58.56,4.32,2.748,35.0,8,Alta
G179,-75.576798,6.305973,2035.2,Volcánica,52.74,4.89,2.681,27.0,6,Alta
G180,-75.652647,6.300042,2406.4,Metasedimentaria,61.32,3.67,2.745,29.1,16,Media
